Misc,playerID,birthYear,birthCountry,birthCity,deathYear,deathCountry,deathCity,nameFirst,nameLast,Birthplace,geoname_id,continent_code,country_iso_code,country_name,city_name,registered_country_geoname_id,latitude,longitude
27870,hudsoch01,1949,United States,Ada,,,,Charlie,Hudson,United States Ada,4529096,,US,United States,Ada,6252001,34.78,-96.6924
27874,hudsoch02,1959,United States,Ennis,,,,Charles,Hudson,United States Ennis,4689311,,US,United States,Ennis,6252001,32.3321,-96.6224
27876,hudsoda01,1987,United States,Lynchburg,,,,Daniel,Hudson,United States Lynchburg,4517264,,US,United States,Lynchburg,6252001,39.2119,-83.8021
27880,hudsoda02,1994,United States,Chattanooga,,,,Dakota,Hudson,United States Chattanooga,4532895,,US,United States,Chattanooga,6252001,34.4262,-98.6514
27882,hudsoha01,1927,United States,Grosse Pointe,2016,USA,Port St. Lucie,Hal,Hudson,United States Grosse Pointe,4994862,,US,United States,Grosse Pointe,6252001,42.4263,-82.9014
27883,hudsoje01,1948,United States,Mansfield,,,,Jesse,Hudson,United States Mansfield,4207676,,US,United States,Mansfield,6252001,33.4314,-83.7908
27891,hudsojo01,1912,United States,Bryan,1970,USA,Bryan,Johnny,Hudson,United States Bryan,4677008,,US,United States,Bryan,6252001,30.6913,-96.3714
27893,hudsojo02,1970,United States,Philadelphia,,,,Joe,Hudson,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
27897,hudsojo03,1991,United States,Tampa,,,,Joe,Hudson,United States Tampa,4174757,,US,United States,Tampa,6252001,27.959,-82.4938
27899,hudsoky01,1987,United States,Mattoon,,,,Kyle,Hudson,United States Mattoon,4244099,,US,United States,Mattoon,6252001,39.4802,-88.3762
27900,hudsolu01,1977,United States,Fountain Valley,,,,Luke,Hudson,United States Fountain Valley,5350207,,US,United States,Fountain Valley,6252001,33.707,-117.9519
27901,hudsona01,1869,United States,Chicago,1928,USA,Chicago,Nat,Hudson,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
27902,hudsoor01,1977,United States,Darlington,,,,Orlando,Hudson,United States Darlington,4352813,,US,United States,Darlington,6252001,39.654,-76.2278
27907,hudsore01,1953,United States,Tulsa,,,,Rex,Hudson,United States Tulsa,4553433,,US,United States,Tulsa,6252001,36.1462,-95.9085
27909,hudsoti01,1975,United States,Columbus,,,,Tim,Hudson,United States Columbus,4188985,,US,United States,Columbus,6252001,32.473,-84.9795
27921,huenkal01,1891,United States,New Bremen,1974,USA,St. Marys,Al,Huenke,United States New Bremen,5164239,,US,United States,New Bremen,6252001,40.4389,-84.3821
27922,huffau01,1976,United States,Marion,,,,Aubrey,Huff,United States Marion,4049048,,US,United States,Marion,6252001,38.0266,-75.7579
27943,huffda01,1984,United States,Huntington Beach,,,,David,Huff,United States Huntington Beach,5358705,,US,United States,Huntington Beach,6252001,33.6647,-117.9663
27944,huffge99,1872,United States,Champaign,1936,USA,Urbana,George,Huff,United States Champaign,4887158,,US,United States,Champaign,6252001,40.1016,-88.2822
27946,huffmch01,1985,United States,Houston,,,,Chad,Huffman,United States Houston,4430529,,US,United States,Houston,6252001,33.9026,-88.967
27949,huffmi01,1963,United States,Honolulu,,,,Mike,Huff,United States Honolulu,5856195,,US,United States,Honolulu,6252001,21.3069,-157.8583
27950,huffmph01,1958,United States,Freeport,,,,Phil,Huffman,United States Freeport,4156268,,US,United States,Freeport,6252001,30.4896,-86.1684
27958,huged01,1880,United States,Fayetteville,1953,USA,Cincinnati,Ed,Hug,United States Fayetteville,4110486,,US,United States,Fayetteville,6252001,36.0557,-94.1567
27967,huggimi01,1878,United States,Cincinnati,1929,USA,New York,Miller,Huggins,United States Cincinnati,4508722,,US,United States,Cincinnati,6252001,39.2663,-84.5221
27969,hughebi02,1896,United States,Philadelphia,1963,USA,Birmingham,Bill,Hughes,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
27973,hughebo01,1971,United States,Burbank,,,,Bobby,Hughes,United States Burbank,4885983,,US,United States,Burbank,6252001,41.7402,-87.7723
27977,hughedi01,1938,United States,Stephens,,,,Dick,Hughes,United States Stephens,4224497,,US,United States,Stephens,6252001,33.7715,-83.1159
27978,hughedu01,1982,United States,Tupelo,,,,Dusty,Hughes,United States Tupelo,4448903,,US,United States,Tupelo,6252001,34.2538,-88.7209
27979,hugheed01,1880,United States,Chicago,1927,USA,McHenry,Ed,Hughes,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
27980,hugheja01,1874,United States,Sacramento,1924,USA,Sacramento,Jay,Hughes,United States Sacramento,4307057,,US,United States,Sacramento,6252001,37.4177,-87.2736
27982,hugheja02,1985,United States,Stamford,,,,Jared,Hughes,United States Stamford,4734041,,US,United States,Stamford,6252001,32.9453,-99.7859
27987,hugheji02,1923,United States,Chicago,2001,USA,Palos Heights,Jim,Hughes,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
27988,hugheji03,1951,United States,Los Angeles,,,,Jim,Hughes,United States Los Angeles,5368361,,US,United States,Los Angeles,597427,34.0544,-118.244
27990,hugheke01,1963,United States,Bryn Mawr,,,,Keith,Hughes,United States Bryn Mawr,5182064,,US,United States,Bryn Mawr,6252001,40.0271,-75.3291
27991,hughelu01,1984,Australia,Perth,,,,Luke,Hughes,Australia Perth,2063523,OC,AU,Australia,Perth,2077456,-31.9204,115.8557
27993,hughemi01,1866,United States,New York,1931,USA,Jersey City,Mickey,Hughes,United States New York,5128581,,US,United States,New York,798549,40.7157,-74
27994,hugheph01,1986,United States,Mission Viejo,,,,Phil,Hughes,United States Mission Viejo,5373763,,US,United States,Mission Viejo,6252001,33.6124,-117.6401
27995,hugherh01,1983,United States,Picayune,,,,Rhyne,Hughes,United States Picayune,4440975,,US,United States,Picayune,6252001,30.5418,-89.691
27996,hughero01,1911,United States,Cincinnati,1995,USA,Asheville,Roy,Hughes,United States Cincinnati,4508722,,US,United States,Cincinnati,6252001,39.2663,-84.5221
27998,hughete01,1949,United States,Spartanburg,,,,Terry,Hughes,United States Spartanburg,4597200,,US,United States,Spartanburg,6252001,34.8939,-81.834
27999,hugheto01,1878,United States,Chicago,1956,USA,Chicago,Tom,Hughes,United States Chicago,4887398,,US,United States,Chicago,6252001,41.8777,-87.6376
28002,hugheto04,1919,United States,Wilkes-Barre,1990,USA,Wilkes-Barre,Tommy,Hughes,United States Wilkes-Barre,5219488,,US,United States,Wilkes-Barre,6252001,41.2689,-75.8453
28004,hughetr01,1978,United States,Newton,,,,Travis,Hughes,United States Newton,4080193,,US,United States,Newton,6252001,31.3311,-85.5992
28016,hugheve01,1893,United States,Etna,1961,USA,Sewickley,Vern,Hughes,United States Etna,4963848,,US,United States,Etna,6252001,44.7932,-69.1322
28018,hughste01,1916,United States,Buda,1993,USA,San Marcos,Tex,Hughson,United States Buda,4050880,,US,United States,Buda,6252001,30.0931,-97.8565
28019,huhnem01,1892,United States,North Vernon,1925,USA,Camden,Emil,Huhn,United States North Vernon,4262318,,US,United States,North Vernon,6252001,39.0018,-85.6272
28020,huismju01,1979,United States,Harvey,,,,Justin,Huisman,United States Harvey,4327047,,US,United States,Harvey,6252001,29.8725,-90.0673
28023,huismma01,1958,United States,Lincoln,,,,Mark,Huismann,United States Lincoln,4072767,,US,United States,Lincoln,6252001,33.6059,-86.1112
28038,huismri01,1969,United States,Oak Park,,,,Rick,Huisman,United States Oak Park,4904381,,US,United States,Oak Park,6252001,41.8725,-87.7877
28043,hulenbi01,1870,United States,Dixon,1947,USA,Santa Rosa,Billy,Hulen,United States Dixon,4289966,,US,United States,Dixon,6252001,37.5106,-87.7019
28048,huletti01,1960,United States,Springfield,,,,Tim,Hulett,United States Springfield,4224162,,US,United States,Springfield,6252001,32.3697,-81.3618
28066,hulettu01,1983,United States,Springfield,,,,Tug,Hulett,United States Springfield,4224162,,US,United States,Springfield,6252001,32.3697,-81.3618
28084,hulihha01,1899,United States,Rutland,1980,USA,Rutland,Harry,Hulihan,United States Rutland,4949245,,US,United States,Rutland,6252001,42.3762,-71.949
28086,huller01,1979,United States,Yakima,,,,Eric,Hull,United States Yakima,5816605,,US,United States,Yakima,6252001,46.6021,-120.5059
28087,hulseda01,1968,United States,San Angelo,,,,David,Hulse,United States San Angelo,5530022,,US,United States,San Angelo,6252001,31.4193,-100.4803
28088,hulswru01,1877,United States,Newport,1950,USA,Louisville,Rudy,Hulswitt,United States Newport,4123830,,US,United States,Newport,6252001,35.5988,-91.2571
28104,humbeph01,1982,United States,Nacogdoches,,,,Philip,Humber,United States Nacogdoches,4713735,,US,United States,Nacogdoches,6252001,31.5611,-94.5
28105,humeto01,1953,United States,Cincinnati,,,,Tom,Hume,United States Cincinnati,4508722,,US,United States,Cincinnati,6252001,39.2663,-84.5221
28107,hummejo01,1883,United States,Bloomsburg,1959,USA,Springfield,John,Hummel,United States Bloomsburg,5180934,,US,United States,Bloomsburg,6252001,41.0115,-76.4384
28108,hummeti01,1978,United States,Goshen,,,,Tim,Hummel,United States Goshen,4064706,,US,United States,Goshen,6252001,31.7946,-86.1277
28114,humphal01,1886,United States,Ashtabula,1961,USA,Ashtabula,Al,Humphrey,United States Ashtabula,5146089,,US,United States,Ashtabula,6252001,41.8679,-80.7947
28115,humphbe01,1880,United States,California,1945,USA,Orlando,Bert,Humphries,United States California,4286529,,US,United States,California,6252001,38.9056,-84.3171
28119,humphbi01,1911,United States,Vienna,1992,USA,Springfield,Byron,Humphrey,United States Vienna,4228440,,US,United States,Vienna,6252001,32.0913,-83.7922
28124,humphbo01,1935,United States,Covington,,,,Bob,Humphreys,United States Covington,4189785,,US,United States,Covington,6252001,33.5146,-83.8626
28133,humphjo02,1915,United States,Clifton Forge,1965,USA,New Orleans,Johnny,Humphries,United States Clifton Forge,4753158,,US,United States,Clifton Forge,6252001,37.8203,-79.8054
28134,humphmi01,1967,United States,Dallas,,,,Mike,Humphreys,United States Dallas,4190598,,US,United States,Dallas,6252001,33.8992,-84.8572
28140,humphte01,1949,United States,Chickasha,,,,Terry,Humphrey,United States Chickasha,4533029,,US,United States,Chickasha,6252001,35.0268,-97.9518
28141,hundlni01,1983,United States,Corvallis,,,,Nick,Hundley,United States Corvallis,5720727,,US,United States,Corvallis,6252001,44.5928,-123.2746
28142,hundlra01,1942,United States,Martinsville,,,,Randy,Hundley,United States Martinsville,4244005,,US,United States,Martinsville,6252001,39.3174,-87.8707
28147,hundlto01,1969,United States,Martinsville,,,,Todd,Hundley,United States Martinsville,4244005,,US,United States,Martinsville,6252001,39.3174,-87.8707
28152,hunglbe01,1896,United States,Dayton,1968,USA,Dayton,Bernie,Hungling,United States Dayton,4289629,,US,United States,Dayton,6252001,39.1114,-84.4712
28164,hunnebi01,1899,United States,Dedham,1976,USA,Nantucket,Bill,Hunnefield,United States Dedham,4934664,,US,United States,Dedham,6252001,42.2441,-71.1688
28165,huntbe01,1888,United States,Eufaula,1927,USA,Greybull,Ben,Hunt,United States Eufaula,4060954,,US,United States,Eufaula,6252001,31.9051,-85.1656
28167,huntebi01,1855,Canada,St. Thomas,1918,USA,Chicago,Bill,Hunter,Canada St. Thomas,6158357,,CA,Canada,St. Thomas,6251999,42.7597,-81.1762
28168,huntebi02,1887,United States,Buffalo,1934,USA,Buffalo,Bill,Hunter,United States Buffalo,4234762,,US,United States,Buffalo,6252001,39.8499,-89.3879
28177,huntebi03,1928,United States,Punxsutawney,,,,Billy,Hunter,United States Punxsutawney,5207307,,US,United States,Punxsutawney,6252001,40.9479,-78.9681
28178,huntebr01,1968,United States,Torrance,,,,Brian,Hunter,United States Torrance,5403022,,US,United States,Torrance,6252001,33.8104,-118.3531
28179,huntebr02,1971,United States,Portland,,,,Brian,Hunter,United States Portland,4650946,,US,United States,Portland,6252001,36.5673,-86.5059
28188,huntebu01,1947,United States,Omaha,,,,Buddy,Hunter,United States Omaha,4124911,,US,United States,Omaha,6252001,36.4612,-93.1888
28190,hunteca01,1946,United States,Hertford,1999,USA,Hertford,Catfish,Hunter,United States Hertford,4470727,,US,United States,Hertford,6252001,36.1685,-76.3731
28191,huntece01,1988,United States,Decatur,,,,Cedric,Hunter,United States Decatur,4058553,,US,United States,Decatur,6252001,34.5896,-86.9887
28201,hunteed01,1905,United States,Bellevue,1967,USA,Colerain,Eddie,Hunter,United States Bellevue,4283845,,US,United States,Bellevue,6252001,39.1024,-84.4787
28208,huntege01,1887,United States,Buffalo,1968,USA,Harrisburg,George,Hunter,United States Buffalo,4234762,,US,United States,Buffalo,6252001,39.8499,-89.3879
28217,huntehe01,1895,United States,Boston,1970,USA,Orlando,Herb,Hunter,United States Boston,4285208,,US,United States,Boston,6252001,37.7408,-85.5948
28220,hunteji01,1964,United States,Jersey City,,,,Jim,Hunter,United States Jersey City,5099836,,US,United States,Jersey City,6252001,40.7362,-74.0422
28221,huntele01,1863,United States,Warren,1956,USA,West Lafayette,Lem,Hunter,United States Warren,4135349,,US,United States,Warren,6252001,33.614,-92.0778
28235,huntene01,1880,United States,Chillicothe,1963,USA,Columbus,Newt,Hunter,United States Chillicothe,4381104,,US,United States,Chillicothe,6252001,39.7966,-93.5509
28238,hunteri01,1974,United States,Pasadena,,,,Rich,Hunter,United States Pasadena,4364990,,US,United States,Pasadena,6252001,39.1244,-76.495
28241,hunteto01,1975,United States,Pine Bluff,,,,Torii,Hunter,United States Pine Bluff,4126226,,US,United States,Pine Bluff,6252001,34.209,-91.9859
28242,hunteto02,1986,United States,Indianapolis,,,,Tommy,Hunter,United States Indianapolis,4259418,,US,United States,Indianapolis,6252001,39.8996,-86.1692
28243,huntewi01,1934,United States,Newark,,,,Willard,Hunter,United States Newark,4123800,,US,United States,Newark,6252001,35.7118,-91.4394
28251,huntjo01,1905,United States,Texico,1978,USA,Teague,Joel,Hunt,United States Texico,5494197,,US,United States,Texico,6252001,34.3958,-103.0615
28252,huntke01,1934,United States,Grand Forks,1997,USA,Gardena,Ken,Hunt,United States Grand Forks,5059429,,US,United States,Grand Forks,6252001,47.8977,-97.0394
28253,huntke02,1938,United States,Ogden,2008,USA,Morgan,Ken,Hunt,United States Ogden,4276588,,US,United States,Ogden,6252001,39.1153,-96.7101
28256,huntra01,1960,United States,Prattville,,,,Randy,Hunt,United States Prattville,4084796,,US,United States,Prattville,6252001,32.4691,-86.4784
28258,huntzst01,1945,United States,Cleveland,,,,Steve,Huntz,United States Cleveland,4055815,,US,United States,Cleveland,6252001,33.9778,-86.5598
28272,huntzwa01,1899,United States,Pottsville,1981,USA,Upper Darby,Walt,Huntzinger,United States Pottsville,5207080,,US,United States,Pottsville,6252001,40.684,-76.2123
28273,huppeda01,1957,United States,South Gate,,,,Dave,Huppert,United States South Gate,5397603,,US,United States,South Gate,6252001,33.9441,-118.198
28274,hurdlcl01,1957,United States,Big Rapids,,,,Clint,Hurdle,United States Big Rapids,4986020,,US,United States,Big Rapids,6252001,43.6897,-85.4797
28275,hurdto01,1924,United States,Danville,1982,USA,Waterloo,Tom,Hurd,United States Danville,4190729,,US,United States,Danville,6252001,32.6057,-83.2454
28286,hurledi01,1847,United States,Honesdale,,,,Dick,Hurley,United States Honesdale,5194099,,US,United States,Honesdale,6252001,41.5792,-75.2528
28287,hurleer01,1985,United States,Sikeston,,,,Eric,Hurley,United States Sikeston,4408672,,US,United States,Sikeston,6252001,36.8911,-89.582
28288,hurleje01,1863,United States,Boston,1950,USA,Boston,Jerry,Hurley,United States Boston,4285208,,US,United States,Boston,6252001,37.7408,-85.5948
28291,hurleje02,1875,United States,New York,1919,USA,New York,Jerry,Hurley,United States New York,5128581,,US,United States,New York,798549,40.7157,-74
28292,hurshja01,1991,United States,Dallas,,,,Jason,Hursh,United States Dallas,4190598,,US,United States,Dallas,6252001,33.8992,-84.8572
28298,hurstbi01,1970,United States,Miami Beach,,,,Bill,Hurst,United States Miami Beach,4164143,,US,United States,Miami Beach,6252001,25.7873,-80.1564
28300,hurstdo01,1905,United States,Maysville,1952,USA,Los Angeles,Don,Hurst,United States Maysville,4208245,,US,United States,Maysville,6252001,34.2529,-83.5616
28305,hurstja01,1967,United States,Plantation,,,,James,Hurst,United States Plantation,4168782,,US,United States,Plantation,6252001,26.1342,-80.2318
28306,hurstji01,1972,United States,Tuscaloosa,,,,Jimmy,Hurst,United States Tuscaloosa,4094455,,US,United States,Tuscaloosa,6252001,33.1669,-87.5064
28307,hurstjo01,1966,United States,New York,,,,Jonathan,Hurst,United States New York,5128581,,US,United States,New York,798549,40.7157,-74
28308,hurstti99,1865,United States,Ashland,1915,USA,Minersville,Tim,Hurst,United States Ashland,4232953,,US,United States,Ashland,6252001,39.9386,-90.0792
28323,huskebu01,1971,United States,Anadarko,,,,Butch,Huskey,United States Anadarko,4529353,,US,United States,Anadarko,6252001,35.0728,-98.2429
28324,husonje01,1964,United States,Scottsdale,,,,Jeff,Huson,United States Scottsdale,5313457,,US,United States,Scottsdale,6252001,33.6194,-111.9556
28325,hustaca01,1902,United States,Egg Harbor City,1951,USA,Kingston,Carl,Husta,United States Egg Harbor City,4501646,,US,United States,Egg Harbor City,6252001,39.5331,-74.6177
28326,hustebi01,1866,United States,Gloucester,1941,USA,Gloucester,Bill,Husted,United States Gloucester,4761161,,US,United States,Gloucester,6252001,37.4126,-76.5464
28328,hustibe01,1878,United States,Mayville,1948,USA,Milwaukee,Bert,Husting,United States Mayville,5001222,,US,United States,Mayville,6252001,43.3562,-83.3725
