,flags,country
62,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg,The_Gambia
63,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,Georgia
64,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany
65,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,Ghana
66,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,Greece
67,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,Grenada
68,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,Guatemala
69,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,Guinea
70,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,Guinea-Bissau
71,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,Guyana
72,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,Haiti
73,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,Honduras
74,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,Hungary
75,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,Iceland
76,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,India
77,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,Indonesia
78,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,Iran
79,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,Iraq
80,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland
81,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel
82,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Italy
83,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,C
84,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,Jamaica
85,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,Japan
86,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,Jordan
87,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,Kazakhstan
88,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,Kenya
89,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,Kiribati
90,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,North_Korea
91,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,South_Korea
92,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg,Kuwait
93,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,Kyrgyzstan
94,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,Laos
95,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,Latvia
96,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,Lebanon
97,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg,Lesotho
98,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,Liberia
99,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,Libya
100,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg,Liechtenstein
101,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,Lithuania
102,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg
103,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,Madagascar
104,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg,Malawi
105,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg,Malaysia
106,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg,Maldives
107,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,Mali
108,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,Malta
109,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg,the_Marshall_Islands
110,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg,Mauritania
111,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,Mauritius
112,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,Mexico
113,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg,the_Federated_States_of_Micronesia
114,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,Moldova
115,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg,Monaco
116,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,Mongolia
117,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,Montenegro
118,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,Morocco
119,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg,Mozambique
120,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,Myanmar
121,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,Namibia
122,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg,Nauru
123,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,Nepal
124,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,the_Netherlands
125,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,New_Zealand
126,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg,Nicaragua
127,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,Niger
128,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,Nigeria
129,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_North_Macedonia.svg,North_Macedonia
130,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,Norway
131,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg,Oman
132,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,Pakistan
133,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg,Palau
134,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg,Palestine
135,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,Panama
136,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg,Papua_New_Guinea
137,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,Paraguay
138,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,Peru
139,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,the_Philippines
140,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,Poland
141,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,Portugal
142,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,Qatar
143,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,Romania
144,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,Russia
145,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg,Rwanda
146,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,Saint_Kitts_and_Nevis
147,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg,Saint_Lucia
148,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg,Saint_Vincent_and_the_Grenadines
