,year,country,count,height,weight
126,1895,Asia,0,0.0,0.0
127,1995,Asia,4,72.75,198.75
128,1905,Asia,0,0.0,0.0
129,1910,Asia,1,72.0,160.0
130,1880,Asia,0,0.0,0.0
131,1855,Asia,0,0.0,0.0
132,1840,Asia,0,0.0,0.0
133,1845,Asia,0,0.0,0.0
134,1835,Asia,0,0.0,0.0
135,2000,Asia,0,0.0,0.0
136,1980,Europe,3,75.0,210.0
137,1935,Europe,2,73.0,187.5
138,1940,Europe,0,0.0,0.0
139,1955,Europe,6,73.16666666666667,177.33333333333334
140,1970,Europe,4,74.5,183.75
141,1985,Europe,4,75.25,213.75
142,1850,Europe,10,68.3,163.5
143,1875,Europe,13,70.46153846153847,179.53846153846155
144,1870,Europe,11,69.72727272727273,167.45454545454547
145,1865,Europe,14,70.57142857142857,173.64285714285714
146,1860,Europe,11,68.63636363636364,168.72727272727272
147,1950,Europe,2,72.5,177.5
148,1965,Europe,4,73.25,186.25
149,1885,Europe,9,70.33333333333333,177.77777777777777
150,1925,Europe,3,74.0,200.33333333333334
151,1930,Europe,1,71.0,184.0
152,1975,Europe,1,74.0,225.0
153,1920,Europe,5,69.8,169.6
154,1915,Europe,2,73.0,192.5
155,1900,Europe,5,72.6,180.0
156,1960,Europe,8,75.0,198.0
157,1990,Europe,5,75.2,224.0
158,1945,Europe,3,74.66666666666667,185.66666666666666
159,1890,Europe,9,71.88888888888889,178.0
160,1895,Europe,4,71.25,178.75
161,1995,Europe,3,74.0,207.33333333333334
162,1905,Europe,4,70.5,170.0
163,1910,Europe,2,72.0,182.0
164,1880,Europe,12,69.41666666666667,163.5
165,1855,Europe,8,69.125,169.375
166,1840,Europe,3,69.33333333333333,155.33333333333334
167,1845,Europe,4,69.0,164.0
168,1835,Europe,1,69.0,157.0
169,2000,Europe,0,0.0,0.0
170,1980,Oceania,6,74.33333333333333,199.33333333333334
171,1935,Oceania,1,70.0,175.0
172,1940,Oceania,4,70.75,177.5
173,1955,Oceania,0,0.0,0.0
174,1970,Oceania,7,74.28571428571429,198.57142857142858
175,1985,Oceania,7,72.28571428571429,211.42857142857142
176,1850,Oceania,0,0.0,0.0
177,1875,Oceania,0,0.0,0.0
178,1870,Oceania,0,0.0,0.0
179,1865,Oceania,0,0.0,0.0
180,1860,Oceania,1,67.0,158.0
181,1950,Oceania,1,72.0,175.0
182,1965,Oceania,4,73.75,179.5
183,1885,Oceania,0,0.0,0.0
184,1925,Oceania,0,0.0,0.0
185,1930,Oceania,0,0.0,0.0
186,1975,Oceania,7,73.71428571428571,211.42857142857142
187,1920,Oceania,0,0.0,0.0
188,1915,Oceania,0,0.0,0.0
189,1900,Oceania,0,0.0,0.0
190,1960,Oceania,0,0.0,0.0
191,1990,Oceania,7,73.42857142857143,203.28571428571428
192,1945,Oceania,2,71.5,198.5
193,1890,Oceania,1,71.0,170.0
194,1895,Oceania,0,0.0,0.0
195,1995,Oceania,0,0.0,0.0
196,1905,Oceania,0,0.0,0.0
197,1910,Oceania,0,0.0,0.0
198,1880,Oceania,0,0.0,0.0
199,1855,Oceania,0,0.0,0.0
200,1840,Oceania,0,0.0,0.0
201,1845,Oceania,0,0.0,0.0
202,1835,Oceania,0,0.0,0.0
203,2000,Oceania,0,0.0,0.0
204,1980,Africa,0,0.0,0.0
205,1935,Africa,0,0.0,0.0
206,1940,Africa,0,0.0,0.0
207,1955,Africa,0,0.0,0.0
208,1970,Africa,0,0.0,0.0
209,1985,Africa,0,0.0,0.0
210,1850,Africa,0,0.0,0.0
211,1875,Africa,0,0.0,0.0
212,1870,Africa,0,0.0,0.0
213,1865,Africa,0,0.0,0.0
214,1860,Africa,0,0.0,0.0
215,1950,Africa,0,0.0,0.0
216,1965,Africa,0,0.0,0.0
217,1885,Africa,0,0.0,0.0
218,1925,Africa,0,0.0,0.0
219,1930,Africa,0,0.0,0.0
220,1975,Africa,0,0.0,0.0
221,1920,Africa,0,0.0,0.0
222,1915,Africa,0,0.0,0.0
223,1900,Africa,0,0.0,0.0
224,1960,Africa,0,0.0,0.0
225,1990,Africa,1,68.0,200.0
226,1945,Africa,0,0.0,0.0
227,1890,Africa,0,0.0,0.0
228,1895,Africa,0,0.0,0.0
229,1995,Africa,0,0.0,0.0
230,1905,Africa,0,0.0,0.0
231,1910,Africa,0,0.0,0.0
232,1880,Africa,0,0.0,0.0
233,1855,Africa,0,0.0,0.0
234,1840,Africa,0,0.0,0.0
235,1845,Africa,0,0.0,0.0
236,1835,Africa,0,0.0,0.0
237,2000,Africa,0,0.0,0.0
